Feature Set,Model,N Features,Train Accuracy,Mean CV Accuracy,CV Std,Min CV Accuracy,Max CV Accuracy,Train-CV Gap,Improvement vs Core
07_Add_Interaction,Random Forest,21,0.9927041145972864,0.8406189190885694,0.009936214970106353,0.8258426966292135,0.8539325842696629,0.1520851955087169,0.02131692925742268
08_All_Features,Random Forest,21,0.9927041145972864,0.8406189190885694,0.009936214970106353,0.8258426966292135,0.8539325842696629,0.1520851955087169,0.02131692925742268
06_Add_Age,Random Forest,20,0.9927041145972864,0.8394827694432239,0.01708108934375088,0.8202247191011236,0.8603351955307262,0.1532213451540625,0.020180779612077093
04_Add_Cabin,Gradient Boosting,13,0.9071264793482202,0.838359173937606,0.018780699316993665,0.8089887640449438,0.8603351955307262,0.06876730541061427,0.003358232377126291
02_Core_Title,Logistic Regression,8,0.8333324140756734,0.8361308141359614,0.009793665365456472,0.8202247191011236,0.848314606741573,-0.0027984000602879755,0.03365764860962894
01_Core,Gradient Boosting,7,0.9029177238129759,0.8350009415604797,0.02131017053949456,0.8089887640449438,0.8539325842696629,0.0679167822524962,0.0
08_All_Features,Gradient Boosting,21,0.9172282017744298,0.8349946644906158,0.01593062456684275,0.8202247191011236,0.8547486033519553,0.082233537283814,-6.277069863891427e-06
07_Add_Interaction,Gradient Boosting,21,0.9172282017744298,0.8349946644906158,0.01593062456684275,0.8202247191011236,0.8547486033519553,0.082233537283814,-6.277069863891427e-06
03_Add_Family,Gradient Boosting,11,0.9088118726066469,0.8338773460548616,0.01281159031854866,0.8202247191011236,0.8491620111731844,0.07493452655178523,-0.0011235955056180247
02_Core_Title,Gradient Boosting,8,0.907406984257056,0.8338710689849979,0.013356778714358636,0.8146067415730337,0.8547486033519553,0.07353591527205816,-0.001129872575481805
06_Add_Age,Gradient Boosting,20,0.9189112312274454,0.831617600903898,0.015772866474454597,0.8202247191011236,0.8603351955307262,0.08729363032354742,-0.003383340656581635
05_Add_Ticket,Gradient Boosting,17,0.9175079187481285,0.831617600903898,0.01616811632267108,0.8146067415730337,0.8603351955307262,0.08589031784423051,-0.003383340656581635
03_Add_Family,Logistic Regression,11,0.8319298895314938,0.8305191136777352,0.0067461711434545595,0.8202247191011236,0.8379888268156425,0.0014107758537585946,0.028045948151402822
04_Add_Cabin,Logistic Regression,13,0.8409060466142426,0.8305065595380077,0.015029232300920957,0.8033707865168539,0.8491620111731844,0.010399487076234948,0.02803339401167526
05_Add_Ticket,Random Forest,17,0.991581700994374,0.8271357730211537,0.01912829699568013,0.8033707865168539,0.8491620111731844,0.16444592797322033,0.007833783190006938
07_Add_Interaction,Logistic Regression,21,0.8498861433726775,0.8260121775155357,0.017265555056992527,0.797752808988764,0.8491620111731844,0.023873965857141854,0.023539011989203273
08_All_Features,Logistic Regression,21,0.8498861433726775,0.8260121775155357,0.017265555056992527,0.797752808988764,0.8491620111731844,0.023873965857141854,0.023539011989203273
02_Core_Title,Random Forest,8,0.9848484012796066,0.8226727763480006,0.0056641643467031655,0.8146067415730337,0.8314606741573034,0.16217562493160598,0.003370786516853852
06_Add_Age,Logistic Regression,20,0.840626329640544,0.8204193082669009,0.01240297859887847,0.8033707865168539,0.8370786516853933,0.020207021373643053,0.017946142740568494
05_Add_Ticket,Logistic Regression,17,0.8378208865846164,0.8204067541271736,0.012560437187704339,0.8033707865168539,0.8379888268156425,0.017414132457442832,0.017933588600841155
03_Add_Family,Random Forest,11,0.9848484012796066,0.8193208210407382,0.010580790282163972,0.8044692737430168,0.8314606741573034,0.16552758023886838,1.8831209591452236e-05
01_Core,Random Forest,7,0.9828840789826181,0.8193019898311468,0.00902278520376893,0.8033707865168539,0.8314606741573034,0.16358208915147132,0.0
04_Add_Cabin,Random Forest,13,0.9876538443355344,0.8192831586215554,0.012271872255653,0.8033707865168539,0.8379888268156425,0.16837068571397895,-1.8831209591341214e-05
01_Core,Logistic Regression,7,0.8131317269962336,0.8024731655263324,0.012438605910627207,0.7921348314606742,0.8258426966292135,0.010658561469901184,0.0
