Threshold,Accuracy
0.35,0.819304152637486
0.36,0.8237934904601572
0.37,0.8237934904601572
0.38,0.8260381593714927
0.39,0.8305274971941639
0.4,0.835016835016835
0.41,0.8383838383838383
0.42,0.8451178451178452
0.43,0.8473625140291807
0.44,0.8473625140291807
0.45,0.8462401795735129
0.46,0.8473625140291807
0.47,0.8484848484848485
0.48,0.8473625140291807
0.49,0.8462401795735129
0.5,0.8462401795735129
0.51,0.8462401795735129
0.52,0.8473625140291807
0.53,0.8451178451178452
0.54,0.8451178451178452
0.55,0.8473625140291807
0.56,0.8451178451178452
0.57,0.8451178451178452
0.58,0.8451178451178452
0.59,0.8439955106621774
0.6,0.8395061728395061
0.61,0.8383838383838383
0.62,0.8383838383838383
0.63,0.8417508417508418
0.64,0.8395061728395061
0.65,0.8372615039281706
0.66,0.8338945005611672
