Model A,Weight A,Model B,Weight B,Model C,Weight C,Accuracy,Log Loss
Gradient Boosting,0.1,Extra Trees,0.8,Random Forest,0.1,0.8496071829405163,0.37628046584335656
Gradient Boosting,1.0,Extra Trees,0.0,Random Forest,0.0,0.8473625140291807,0.37187244027572597
Gradient Boosting,0.1,Extra Trees,0.7,Random Forest,0.2,0.8473625140291807,0.3755852077029092
Gradient Boosting,0.1,Extra Trees,0.9,Random Forest,0.0,0.8473625140291807,0.3770468442117547
Gradient Boosting,0.0,Extra Trees,0.8,Random Forest,0.2,0.8473625140291807,0.3783156569097685
Gradient Boosting,0.0,Extra Trees,0.9,Random Forest,0.1,0.8473625140291807,0.3791418646907675
Gradient Boosting,0.0,Extra Trees,1.0,Random Forest,0.0,0.8473625140291807,0.38005594443582785
Gradient Boosting,0.9,Extra Trees,0.0,Random Forest,0.1,0.8462401795735129,0.37013060312022594
Gradient Boosting,0.9,Extra Trees,0.1,Random Forest,-0.0,0.8462401795735129,0.3701306433278859
Gradient Boosting,0.1,Extra Trees,0.0,Random Forest,0.9,0.8462401795735129,0.3723443091674253
Gradient Boosting,0.0,Extra Trees,0.0,Random Forest,1.0,0.8462401795735129,0.37403411474295856
Gradient Boosting,0.0,Extra Trees,0.1,Random Forest,0.9,0.8462401795735129,0.37437813581639257
Gradient Boosting,0.1,Extra Trees,0.6,Random Forest,0.3,0.8462401795735129,0.374955037847468
Gradient Boosting,0.0,Extra Trees,0.4,Random Forest,0.6,0.8462401795735129,0.3757168005985528
Gradient Boosting,0.0,Extra Trees,0.5,Random Forest,0.5,0.8462401795735129,0.37627231059101685
Gradient Boosting,0.0,Extra Trees,0.6,Random Forest,0.4,0.8462401795735129,0.37688751303727275
Gradient Boosting,0.7,Extra Trees,0.0,Random Forest,0.3,0.8451178451178452,0.36846513026375466
Gradient Boosting,0.8,Extra Trees,0.0,Random Forest,0.2,0.8451178451178452,0.369047910897248
Gradient Boosting,0.8,Extra Trees,0.1,Random Forest,0.1,0.8451178451178452,0.3690993435811171
Gradient Boosting,0.8,Extra Trees,0.2,Random Forest,-0.0,0.8451178451178452,0.36921478537382574
Gradient Boosting,0.2,Extra Trees,0.1,Random Forest,0.7,0.8451178451178452,0.3712140058928687
Gradient Boosting,0.2,Extra Trees,0.2,Random Forest,0.6,0.8451178451178452,0.37153476693084997
Gradient Boosting,0.2,Extra Trees,0.3,Random Forest,0.5,0.8451178451178452,0.3719052038966557
Gradient Boosting,0.1,Extra Trees,0.1,Random Forest,0.8,0.8451178451178452,0.37265149194698494
Gradient Boosting,0.1,Extra Trees,0.2,Random Forest,0.7,0.8451178451178452,0.37300767653599803
Gradient Boosting,0.2,Extra Trees,0.8,Random Forest,0.0,0.8451178451178452,0.37456815392447784
Gradient Boosting,0.0,Extra Trees,0.2,Random Forest,0.8,0.8451178451178452,0.37477208659558015
Gradient Boosting,0.0,Extra Trees,0.3,Random Forest,0.7,0.8451178451178452,0.37521761032236417
Gradient Boosting,0.0,Extra Trees,0.7,Random Forest,0.3,0.8451178451178452,0.37756674028995557
Gradient Boosting,0.5,Extra Trees,0.2,Random Forest,0.3,0.8439955106621774,0.3688764356293284
Gradient Boosting,0.5,Extra Trees,0.3,Random Forest,0.2,0.8439955106621774,0.3691485307703796
Gradient Boosting,0.3,Extra Trees,0.0,Random Forest,0.7,0.8439955106621774,0.3698264293346127
Gradient Boosting,0.2,Extra Trees,0.0,Random Forest,0.8,0.8439955106621774,0.37094189910038344
Gradient Boosting,0.3,Extra Trees,0.5,Random Forest,0.2,0.8439955106621774,0.371514282585323
Gradient Boosting,0.3,Extra Trees,0.6,Random Forest,0.1,0.8439955106621774,0.37200789167805026
Gradient Boosting,0.2,Extra Trees,0.4,Random Forest,0.4,0.8439955106621774,0.37232670112662164
Gradient Boosting,0.3,Extra Trees,0.7,Random Forest,-0.0,0.8439955106621774,0.3725582656085269
Gradient Boosting,0.2,Extra Trees,0.5,Random Forest,0.3,0.8439955106621774,0.37280106857977435
Gradient Boosting,0.1,Extra Trees,0.5,Random Forest,0.4,0.8439955106621774,0.374385376024577
Gradient Boosting,0.6,Extra Trees,0.0,Random Forest,0.4,0.8428731762065096,0.36829547067572216
Gradient Boosting,0.6,Extra Trees,0.1,Random Forest,0.3,0.8428731762065096,0.3684289983421108
Gradient Boosting,0.5,Extra Trees,0.0,Random Forest,0.5,0.8428731762065096,0.3684861797228715
Gradient Boosting,0.7,Extra Trees,0.1,Random Forest,0.2,0.8428731762065096,0.368559922647185
Gradient Boosting,0.6,Extra Trees,0.2,Random Forest,0.2,0.8428731762065096,0.3686161990572264
Gradient Boosting,0.5,Extra Trees,0.1,Random Forest,0.4,0.8428731762065096,0.3686557131769479
Gradient Boosting,0.7,Extra Trees,0.2,Random Forest,0.1,0.8428731762065096,0.36871231777578034
Gradient Boosting,0.7,Extra Trees,0.3,Random Forest,-0.0,0.8428731762065096,0.3689216320576066
Gradient Boosting,0.4,Extra Trees,0.0,Random Forest,0.6,0.8428731762065096,0.36900363217254634
Gradient Boosting,0.6,Extra Trees,0.4,Random Forest,-0.0,0.8428731762065096,0.36915132340445805
Gradient Boosting,0.4,Extra Trees,0.1,Random Forest,0.5,0.8428731762065096,0.3692076757977999
Gradient Boosting,0.5,Extra Trees,0.5,Random Forest,0.0,0.8428731762065096,0.3698495094502044
Gradient Boosting,0.3,Extra Trees,0.1,Random Forest,0.6,0.8428731762065096,0.3700644053700065
Gradient Boosting,0.3,Extra Trees,0.2,Random Forest,0.5,0.8428731762065096,0.37035124359166804
Gradient Boosting,0.3,Extra Trees,0.3,Random Forest,0.4,0.8428731762065096,0.3706876991829009
Gradient Boosting,0.3,Extra Trees,0.4,Random Forest,0.3,0.8428731762065096,0.3710748774749707
Gradient Boosting,0.2,Extra Trees,0.6,Random Forest,0.2,0.8428731762065096,0.37333063460871124
Gradient Boosting,0.1,Extra Trees,0.3,Random Forest,0.6,0.8428731762065096,0.3734141711677603
Gradient Boosting,0.2,Extra Trees,0.7,Random Forest,0.1,0.8428731762065096,0.37391838243941683
Gradient Boosting,0.6,Extra Trees,0.3,Random Forest,0.1,0.8417508417508418,0.3688568881911565
Gradient Boosting,0.4,Extra Trees,0.2,Random Forest,0.4,0.8417508417508418,0.3694613863793193
Gradient Boosting,0.5,Extra Trees,0.4,Random Forest,0.1,0.8417508417508418,0.3694725648380543
Gradient Boosting,0.4,Extra Trees,0.3,Random Forest,0.3,0.8417508417508418,0.369765248566936
Gradient Boosting,0.4,Extra Trees,0.4,Random Forest,0.2,0.8417508417508418,0.3701201025923337
Gradient Boosting,0.4,Extra Trees,0.5,Random Forest,0.1,0.8417508417508418,0.3705271803139895
Gradient Boosting,0.1,Extra Trees,0.4,Random Forest,0.5,0.8417508417508418,0.3738726782316853
Gradient Boosting,0.4,Extra Trees,0.6,Random Forest,-0.0,0.8406285072951739,0.3709881649485316
